TRIPID,HHID,PERSID,STARTSTOP,ENDSTOP,STARTIME,ORIGPLACE,ORIGPURP,ORIGSA1_2021,DESTPLACE,DESTPURP,DESTSA1_2021,MAINMODE,MODE1,MODE2,MODE3,MODE4,MODE5,MODE6,MODE7,MODE8,ARRTIME,DURATION,TRAVTIME,CUMDIST,OVERALL_PURPOSE
906731001002,90673,90673/1001,2,2,220,"Restaurant, caf̩, or food outlet",Eat/drink,31802148007,My home,Go home,31802147101,Car driver,Car driver,,,,,,,,230,,10,4.27,Shopping
906741000001,90674,90674/1000,1,1,240,My home,At Home,31802147101,Other place (please specify),Recreation/leisure activity,31802148221,Car passenger,Car passenger,,,,,,,,250,170,10,4.14,Recreation
906741000002,90674,90674/1000,2,2,420,Other place (please specify),Recreation/leisure activity,31802148221,My home,Go home,31802147101,Car passenger,Car passenger,,,,,,,,430,,10,4.2,Recreation
906761000001,90676,90676/1000,1,1,480,My home,At Home,31802147101,Shop or supermarket,Shopping,31802147108,Walking,Walking,,,,,,,,505,5,25,0.56,Shopping
906761000002,90676,90676/1000,2,2,510,Shop or supermarket,Shopping,31802147108,My home,Go home,31802147101,Walking,Walking,,,,,,,,535,,25,0.56,Shopping
906761002001,90676,90676/1002,1,1,480,My home,At Home,31802147101,Shop or supermarket,Just accompanying someone,31802147108,Walking,Walking,,,,,,,,505,5,25,0.56,Accompany Someone
906761002002,90676,90676/1002,2,2,510,Shop or supermarket,Just accompanying someone,31802147108,My home,Go home,31802147101,Walking,Walking,,,,,,,,535,,25,0.56,Accompany Someone
906791000001,90679,90679/1000,1,1,225,My home,At Home,31802147101,Primary or secondary school,Pick up or drop off a passenger,31802147111,Car passenger,Car passenger,,,,,,,,227,13,2,0.6,Pickup/Dropoff Someone
906791000002,90679,90679/1000,2,2,240,Primary or secondary school,Pick up or drop off a passenger,31802147111,My home,Go home,31802147101,Car passenger,Car passenger,,,,,,,,242,,2,1.1,Pickup/Dropoff Someone
906811000001,90681,90681/1000,1,1,375,My home,At Home,31802147101,Shop or supermarket,Shopping,31802148246,Car passenger,Car passenger,,,,,,,,390,240,15,3.83,Shopping
906811000002,90681,90681/1000,2,2,630,Shop or supermarket,Shopping,31802148246,My home,Go home,31802147101,Car passenger,Car passenger,,,,,,,,650,,20,3.83,Shopping
906841000001,90684,90684/1000,1,1,240,My home,At Home,31802147101,Primary or secondary school,Pick up or drop off a passenger,31802148011,Car driver,Car driver,,,,,,,,250,0,10,7.2,Pickup/Dropoff Someone
906841000002,90684,90684/1000,2,2,250,Primary or secondary school,Pick up or drop off a passenger,31802148011,Primary or secondary school,Pick up or drop off a passenger,31802148123,Car driver,Car driver,,,,,,,,270,0,20,10.08,Pickup/Dropoff Someone
906841000003,90684,90684/1000,3,3,270,Primary or secondary school,Pick up or drop off a passenger,31802148123,Shop or supermarket,Shopping,31802148246,Car driver,Car driver,,,,,,,,275,85,5,1.69,Shopping
906841000004,90684,90684/1000,4,4,360,Shop or supermarket,Shopping,31802148246,Shop or supermarket,Shopping,31802147510,Car driver,Car driver,,,,,,,,380,70,20,6.69,Shopping
906841000005,90684,90684/1000,5,5,450,Shop or supermarket,Shopping,31802147510,Other place (please specify),Pick up or drop off a passenger,31802147413,Car driver,Car driver,,,,,,,,465,0,15,5.73,Pickup/Dropoff Someone
906841000006,90684,90684/1000,6,6,465,Other place (please specify),Pick up or drop off a passenger,31802147413,Someone else's home,Pick up or drop off a passenger,31802147812,Car driver,Car driver,,,,,,,,495,10,30,8.58,Pickup/Dropoff Someone
906841000007,90684,90684/1000,7,7,505,Someone else's home,Pick up or drop off a passenger,31802147812,My home,Go home,31802147101,Car driver,Car driver,,,,,,,,525,,20,12.98,Pickup/Dropoff Someone
906841002001,90684,90684/1002,1,1,150,My home,At Home,31802147101,My workplace,Work (my workplace),31802146908,Car driver,Car driver,,,,,,,,180,750,30,14.59,Direct Work Commute
906841002002,90684,90684/1002,2,2,930,My workplace,Work (my workplace),31802146908,My home,Go home,31802147101,Car driver,Car driver,,,,,,,,960,,30,14.58,Direct Work Commute
906841003001,90684,90684/1003,1,1,630,My home,At Home,31802147101,Primary or secondary school,Pick up or drop off a passenger,31802148123,Car driver,Car driver,,,,,,,,645,0,15,4.64,Pickup/Dropoff Someone
906841003002,90684,90684/1003,2,2,645,Primary or secondary school,Pick up or drop off a passenger,31802148123,Primary or secondary school,Pick up or drop off a passenger,31802148011,Car driver,Car driver,,,,,,,,665,5,20,10.04,Pickup/Dropoff Someone
906841003003,90684,90684/1003,3,3,670,Primary or secondary school,Pick up or drop off a passenger,31802148011,My home,Go home,31802147101,Car driver,Car driver,,,,,,,,691,,21,7.18,Pickup/Dropoff Someone
906841006001,90684,90684/1006,1,1,240,My home,At Home,31802147101,Primary or secondary school,Education,31802148011,Car passenger,Car passenger,,,,,,,,250,420,10,7.2,Education
906841006002,90684,90684/1006,2,2,670,Primary or secondary school,Education,31802148011,My home,Go home,31802147101,Car passenger,Car passenger,,,,,,,,691,,21,7.18,Education
906841007001,90684,90684/1007,1,1,240,My home,At Home,31802147101,Primary or secondary school,Education,31802148011,Car passenger,Car passenger,,,,,,,,250,420,10,7.2,Education
906841007002,90684,90684/1007,2,2,670,Primary or secondary school,Education,31802148011,My home,Go home,31802147101,Car passenger,Car passenger,,,,,,,,691,,21,7.18,Education
906841008001,90684,90684/1008,1,1,240,My home,At Home,31802147101,Primary or secondary school,Just accompanying someone,31802148011,Car passenger,Car passenger,,,,,,,,250,0,10,7.2,Accompany Someone
906841008002,90684,90684/1008,2,2,250,Primary or secondary school,Just accompanying someone,31802148011,Primary or secondary school,Education,31802148123,Car passenger,Car passenger,,,,,,,,270,375,20,10.08,Education
906841008003,90684,90684/1008,3,3,645,Primary or secondary school,Education,31802148123,Primary or secondary school,Just accompanying someone,31802148011,Car passenger,Car passenger,,,,,,,,665,5,20,10.04,Accompany Someone
906841008004,90684,90684/1008,4,4,670,Primary or secondary school,Just accompanying someone,31802148011,My home,Go home,31802147101,Car passenger,Car passenger,,,,,,,,691,,21,7.18,Accompany Someone
906851000001,90685,90685/1000,1,1,270,My home,At Home,31802147101,Childcare or kindergarten,Pick up or drop off a passenger,31802147112,Car driver,Car driver,,,,,,,,275,9,5,1.69,Pickup/Dropoff Someone
906851000002,90685,90685/1000,2,2,284,Childcare or kindergarten,Pick up or drop off a passenger,31802147112,My workplace,Work (my workplace),31802147025,Car driver,Car driver,,,,,,,,298,482,14,8.98,Work Related
906851000003,90685,90685/1000,3,3,780,My workplace,Work (my workplace),31802147025,My home,Go home,31802147101,Car driver,Car driver,,,,,,,,798,27,18,9.78,Direct Work Commute
906851000004,90685,90685/1000,4,4,825,My home,Go home,31802147101,Shop or supermarket,Shopping,31802148246,Car driver,Car driver,,,,,,,,837,74,12,3.18,Shopping
906851000005,90685,90685/1000,5,5,911,Shop or supermarket,Shopping,31802148246,My home,Go home,31802147101,Car driver,Car driver,,,,,,,,920,,9,3.45,Shopping
906851001001,90685,90685/1001,1,1,10,My home,At Home,31802147101,My workplace,Work (my workplace),31802147813,Car driver,Car driver,,,,,,,,30,640,20,12.75,Direct Work Commute
906851001002,90685,90685/1001,2,2,670,My workplace,Work (my workplace),31802147813,My home,Go home,31802147101,Car driver,Car driver,,,,,,,,695,20,25,12.39,Direct Work Commute
906851001003,90685,90685/1001,3,3,715,My home,Go home,31802147101,Childcare or kindergarten,Pick up or drop off a passenger,31802147112,Car driver,Car driver,,,,,,,,720,10,5,1.69,Pickup/Dropoff Someone
906851001004,90685,90685/1001,4,4,730,Childcare or kindergarten,Pick up or drop off a passenger,31802147112,My home,Go home,31802147101,Car driver,Car driver,,,,,,,,735,,5,1.57,Pickup/Dropoff Someone
906891000001,90689,90689/1000,1,1,120,My home,At Home,31802147101,My workplace,Work (my workplace),31802147206,Car driver,Car driver,,,,,,,,130,350,10,5.85,Direct Work Commute
906891000002,90689,90689/1000,2,2,480,My workplace,Work (my workplace),31802147206,Shop or supermarket,Eat/drink,31802147214,Car driver,Car driver,,,,,,,,485,45,5,2.04,Shopping
906891000003,90689,90689/1000,3,3,530,Shop or supermarket,Eat/drink,31802147214,My workplace,Work (my workplace),31802147206,Car driver,Car driver,,,,,,,,540,290,10,2.41,Work Related
906891000004,90689,90689/1000,4,4,830,My workplace,Work (my workplace),31802147206,My home,Go home,31802147101,Car driver,Car driver,,,,,,,,840,,10,5.81,Direct Work Commute
906891001001,90689,90689/1001,1,1,270,My home,At Home,31802147101,Primary or secondary school,Education,31802147119,Car passenger,Car passenger,,,,,,,,290,370,20,3.49,Education
906891001002,90689,90689/1001,2,2,660,Primary or secondary school,Education,31802147119,My home,Go home,31802147101,Car passenger,Car passenger,,,,,,,,675,,15,3.35,Education
906891002001,90689,90689/1002,1,1,270,My home,At Home,31802147101,Primary or secondary school,Education,31802147119,Car passenger,Car passenger,,,,,,,,290,370,20,3.49,Education
906891002002,90689,90689/1002,2,2,660,Primary or secondary school,Education,31802147119,My home,Go home,31802147101,Car passenger,Car passenger,,,,,,,,675,,15,3.35,Education
906891003001,90689,90689/1003,1,1,270,My home,At Home,31802147101,Primary or secondary school,Pick up or drop off a passenger,31802147119,Car driver,Car driver,,,,,,,,290,10,20,3.49,Pickup/Dropoff Someone
906891003002,90689,90689/1003,2,2,300,Primary or secondary school,Pick up or drop off a passenger,31802147119,My workplace,Work (my workplace),31802147510,Car driver,Car driver,,,,,,,,315,2,15,8.48,Work Related
906891003003,90689,90689/1003,3,3,317,My workplace,Work (my workplace),31802147510,Someone else's home,Work (other work reason),31802148232,Car driver,Car driver,,,,,,,,326,4,9,6.09,Work Related
906891003004,90689,90689/1003,4,4,330,Someone else's home,Work (other work reason),31802148232,My workplace,Work (other work reason),31802148232,Car driver,Car driver,,,,,,,,345,255,15,0,Work Related
906891003005,90689,90689/1003,5,5,600,My workplace,Work (other work reason),31802148232,Someone else's home,Pick up or drop off a passenger,31802148232,Car driver,Car driver,,,,,,,,615,0,15,0,Pickup/Dropoff Someone
906891003006,90689,90689/1003,6,6,615,Someone else's home,Pick up or drop off a passenger,31802148232,Primary or secondary school,Pick up or drop off a passenger,31802147119,Car driver,Car driver,,,,,,,,626,34,11,2.89,Pickup/Dropoff Someone
906891003007,90689,90689/1003,7,7,660,Primary or secondary school,Pick up or drop off a passenger,31802147119,My home,Go home,31802147101,Car driver,Car driver,,,,,,,,675,115,15,3.35,Pickup/Dropoff Someone
906891003008,90689,90689/1003,8,8,790,My home,Go home,31802147101,Other place (please specify),Recreation/leisure activity,31802148233,Car driver,Car driver,,,,,,,,804,66,14,4.83,Recreation
906891003009,90689,90689/1003,9,9,870,Other place (please specify),Recreation/leisure activity,31802148233,My home,Go home,31802147101,Car driver,Car driver,,,,,,,,885,,15,5.01,Recreation
906921000001,90692,90692/1000,1,1,150,My home,At Home,31802147101,My workplace,Work (my workplace),31802147510,Car driver,Car driver,,,,,,,,165,602,15,11.12,Direct Work Commute
906921000002,90692,90692/1000,2,2,767,My workplace,Work (my workplace),31802147510,My home,Go home,31802147101,Car driver,Car driver,,,,,,,,795,,28,11.6,Direct Work Commute
906921001001,90692,90692/1001,1,1,135,My home,At Home,31802147101,My workplace,Work (my workplace),31802147510,Car driver,Car driver,,,,,,,,145,590,10,11.12,Direct Work Commute
906921001002,90692,90692/1001,2,2,735,My workplace,Work (my workplace),31802147510,My home,Go home,31802147101,Car driver,Car driver,,,,,,,,790,,55,11.6,Direct Work Commute
906961000001,90696,90696/1000,1,1,0,My home,At Home,31802147101,Car park,Recreation/leisure activity,31802148912,Car driver,Car driver,,,,,,,,60,300,60,52.13,Recreation
906961000002,90696,90696/1000,2,2,360,Car park,Recreation/leisure activity,31802148912,My home,Go home,31802147101,Car driver,Car driver,,,,,,,,405,,45,52.06,Recreation
906961001001,90696,90696/1001,1,1,240,My home,At Home,31802147101,Shop or supermarket,Shopping,31802148246,Car driver,Car driver,,,,,,,,257,313,17,3.47,Shopping
906961001002,90696,90696/1001,2,2,570,Shop or supermarket,Shopping,31802148246,My home,Go home,31802147101,Car driver,Car driver,,,,,,,,580,,10,3.46,Shopping
906971000001,90697,90697/1000,1,1,630,My home,At Home,31802147101,Other place (please specify),Shopping,31802147119,Car driver,Car driver,,,,,,,,639,2,9,2.44,Shopping
906971000002,90697,90697/1000,2,2,641,Other place (please specify),Shopping,31802147119,My home,Go home,31802147101,Car driver,Car driver,,,,,,,,650,5,9,2.43,Shopping
906971000003,90697,90697/1000,3,3,655,My home,Go home,31802147101,Shop or supermarket,Shopping,31802148246,Car driver,Car driver,,,,,,,,670,80,15,2.95,Shopping
906971000004,90697,90697/1000,4,4,750,Shop or supermarket,Shopping,31802148246,My home,Go home,31802147101,Car driver,Car driver,,,,,,,,770,,20,3.22,Shopping
906971002001,90697,90697/1002,1,1,630,My home,At Home,31802147101,Other place (please specify),Pickup/deliver something (not work-related),31802147119,Car passenger,Car passenger,,,,,,,,639,2,9,2.44,Pickup/Deliver Something
906971002002,90697,90697/1002,2,2,641,Other place (please specify),Pickup/deliver something (not work-related),31802147119,My home,Go home,31802147101,Car passenger,Car passenger,,,,,,,,650,5,9,2.43,Pickup/Deliver Something
906971002003,90697,90697/1002,3,3,655,My home,Go home,31802147101,Shop or supermarket,Just accompanying someone,31802148246,Car passenger,Car passenger,,,,,,,,670,80,15,2.95,Accompany Someone
906971002004,90697,90697/1002,4,4,750,Shop or supermarket,Just accompanying someone,31802148246,My home,Just accompanying someone,31802147101,Car passenger,Car passenger,,,,,,,,770,,20,3.22,Accompany Someone
906971003001,90697,90697/1003,1,1,630,My home,At Home,31802147101,Other place (please specify),Shopping,31802147119,Car passenger,Car passenger,,,,,,,,639,2,9,2.44,Shopping
906971003002,90697,90697/1003,2,2,641,Other place (please specify),Shopping,31802147119,My home,Go home,31802147101,Car passenger,Car passenger,,,,,,,,650,5,9,2.43,Shopping
906991000001,90699,90699/1000,1,1,240,My home,At Home,31802147101,Primary or secondary school,Pick up or drop off a passenger,31802147202,Car driver,Car driver,,,,,,,,250,5,10,6.11,Pickup/Dropoff Someone
906991000002,90699,90699/1000,2,2,255,Primary or secondary school,Pick up or drop off a passenger,31802147202,My home,Go home,31802147101,Car driver,Car driver,,,,,,,,270,330,15,6.08,Pickup/Dropoff Someone
906991000003,90699,90699/1000,3,3,600,My home,Go home,31802147101,Primary or secondary school,Pick up or drop off a passenger,31802147202,Car driver,Car driver,,,,,,,,615,75,15,6.11,Pickup/Dropoff Someone
906991000004,90699,90699/1000,4,4,690,Primary or secondary school,Pick up or drop off a passenger,31802147202,My home,Go home,31802147101,Car driver,Car driver,,,,,,,,705,,15,6.08,Pickup/Dropoff Someone
906991001001,90699,90699/1001,1,1,90,My home,At Home,31802147101,My workplace,Work (my workplace),31802148416,Car driver,Car driver,,,,,,,,120,630,30,13.27,Direct Work Commute
906991001002,90699,90699/1001,2,2,750,My workplace,Work (my workplace),31802148416,My home,Go home,31802147101,Car driver,Car driver,,,,,,,,795,,45,12.84,Direct Work Commute
907021000001,90702,90702/1000,1,1,390,My home,At Home,31802158210,Other place (please specify),Personal business,31802147912,Car driver,Car driver,,,,,,,,420,50,30,20.09,Personal Business
907021000002,90702,90702/1000,2,2,470,Other place (please specify),Personal business,31802147912,Shop or supermarket,Shopping,31802147913,Car driver,Car driver,,,,,,,,480,70,10,0.93,Shopping
907021000003,90702,90702/1000,3,3,550,Shop or supermarket,Shopping,31802147913,My home,Go home,31802158210,Car driver,Car driver,,,,,,,,580,50,30,19.57,Shopping
907021000004,90702,90702/1000,4,4,630,My home,Go home,31802158210,Other place (please specify),Recreation/leisure activity,31802147025,Car driver,Car driver,,,,,,,,655,65,25,11.99,Recreation
907021000005,90702,90702/1000,5,5,720,Other place (please specify),Recreation/leisure activity,31802147025,My home,Go home,31802158210,Car driver,Car driver,,,,,,,,745,,25,11.99,Recreation
907021001001,90702,90702/1001,1,1,390,My home,At Home,31802158210,Other place (please specify),Personal business,31802147912,Car passenger,Car passenger,,,,,,,,420,50,30,20.09,Personal Business
907021001002,90702,90702/1001,2,2,470,Other place (please specify),Personal business,31802147912,Shop or supermarket,Shopping,31802147913,Car passenger,Car passenger,,,,,,,,480,70,10,0.93,Shopping
907021001003,90702,90702/1001,3,3,550,Shop or supermarket,Shopping,31802147913,My home,Go home,31802158210,Car passenger,Car passenger,,,,,,,,580,,30,19.57,Shopping
907041000001,90704,90704/1000,1,1,30,My workplace,Work (my workplace),31802148416,My home,Go home,31802158210,Car driver,Car driver,,,,,,,,45,810,15,12.58,Direct Work Commute
907041000002,90704,90704/1000,2,2,855,My home,Go home,31802158210,My workplace,Work (my workplace),31802148416,Car driver,Car driver,,,,,,,,870,15,15,12.47,Direct Work Commute
907041000003,90704,90704/1000,3,3,885,My workplace,Work (my workplace),31802148416,My workplace,Work (my workplace),31201134012,Truck driver,Truck driver,,,,,,,,1035,240,150,216.19,Work Related
907041000004,90704,90704/1000,4,4,1275,My workplace,Work (my workplace),31201134012,My workplace,Work (my workplace),31802148416,Truck driver,Truck driver,,,,,,,,1439,,164,216.14,Work Related
907041002001,90704,90704/1002,1,1,0,My workplace,Work (my workplace),31802148416,My home,Go home,31802158210,Car driver,Car driver,,,,,,,,15,1005,15,12.58,Direct Work Commute
907041002002,90704,90704/1002,2,2,1020,My home,Go home,31802158210,My workplace,Work (my workplace),31802148416,Car driver,Car driver,,,,,,,,1035,15,15,12.47,Direct Work Commute
907041002003,90704,90704/1002,3,3,1050,My workplace,Work (my workplace),31802148416,My workplace,Work (my workplace),31202135307,Truck driver,Truck driver,,,,,,,,1275,,225,307.01,Work Related
907051000001,90705,90705/1000,1,1,30,My home,At Home,31802158210,My workplace,Work (my workplace),31802148233,Car driver,Car driver,,,,,,,,45,555,15,18.37,Direct Work Commute
907051000002,90705,90705/1000,2,2,600,My workplace,Work (my workplace),31802148233,My home,Go home,31802158210,Car driver,Car driver,,,,,,,,630,,30,18.6,Direct Work Commute
907051002001,90705,90705/1002,1,1,190,My home,At Home,31802158210,My workplace,Work (my workplace),31802147601,Car driver,Car driver,,,,,,,,220,500,30,18.82,Direct Work Commute
907051002002,90705,90705/1002,2,2,720,My workplace,Work (my workplace),31802147601,My home,Go home,31802158210,Car driver,Car driver,,,,,,,,750,60,30,19.15,Direct Work Commute
907051002003,90705,90705/1002,3,3,810,My home,Go home,31802158210,Other place (please specify),Just accompanying someone,31802158305,Car driver,Car driver,,,,,,,,825,75,15,8.96,Accompany Someone
907051002004,90705,90705/1002,4,4,900,Other place (please specify),Just accompanying someone,31802158305,My home,Go home,31802158210,Car driver,Car driver,,,,,,,,930,,30,8.26,Accompany Someone
907051003001,90705,90705/1003,1,1,30,My home,At Home,31802158210,My workplace,Work (my workplace),31802148233,Car passenger,Car passenger,,,,,,,,45,555,15,18.37,Direct Work Commute
907051003002,90705,90705/1003,2,2,600,My workplace,Work (my workplace),31802148233,My home,Go home,31802158210,Car passenger,Car passenger,,,,,,,,630,180,30,18.6,Direct Work Commute
907051003003,90705,90705/1003,3,3,810,My home,Go home,31802158210,Other place (please specify),Social Visit,31802158305,Car passenger,Car passenger,,,,,,,,825,75,15,8.96,Social
907051003004,90705,90705/1003,4,4,900,Other place (please specify),Social Visit,31802158305,My home,Go home,31802158210,Car passenger,Car passenger,,,,,,,,930,,30,8.26,Social
907051004001,90705,90705/1004,1,1,450,My home,At Home,31802158210,My workplace,Work (my workplace),31802158305,Car driver,Car driver,,,,,,,,460,320,10,8.96,Direct Work Commute
907051004002,90705,90705/1004,2,2,780,My workplace,Work (my workplace),31802158305,My home,Go home,31802158210,Car driver,Car driver,,,,,,,,800,,20,8.26,Direct Work Commute
907091000001,90709,90709/1000,1,1,165,My home,At Home,31802158210,My workplace,Work (my workplace),31802149022,Car driver,Car driver,,,,,,,,210,300,45,23.2,Direct Work Commute
907091000002,90709,90709/1000,2,2,510,My workplace,Work (my workplace),31802149022,My home,Go home,31802158210,Car driver,Car driver,,,,,,,,570,,60,23.63,Direct Work Commute
907091001001,90709,90709/1001,1,1,150,My home,At Home,31802158210,My workplace,Work (my workplace),31802158201,Car driver,Car driver,,,,,,,,170,550,20,3.31,Direct Work Commute
907091001002,90709,90709/1001,2,2,720,My workplace,Work (my workplace),31802158201,My home,Go home,31802158210,Car driver,Car driver,,,,,,,,750,,30,3.37,Direct Work Commute
907101000001,90710,90710/1000,1,1,240,My home,At Home,31802158210,"Restaurant, caf̩, or food outlet",Eat/drink,31802147025,Car driver,Car driver,,,,,,,,260,5,20,10.38,Shopping
907101000002,90710,90710/1000,2,2,265,"Restaurant, caf̩, or food outlet",Eat/drink,31802147025,My workplace,Work (my workplace),31802158314,Car driver,Car driver,,,,,,,,280,320,15,6.29,Work Related
907101000003,90710,90710/1000,3,3,600,My workplace,Work (my workplace),31802158314,My home,Go home,31802158210,Car driver,Car driver,,,,,,,,615,,15,6.78,Direct Work Commute
907111000001,90711,90711/1000,1,1,330,My home,At Home,31802158210,Other place (please specify),Recreation/leisure activity,31802158213,Car driver,Car driver,,,,,,,,345,105,15,10.94,Recreation
907111000002,90711,90711/1000,2,2,450,Other place (please specify),Recreation/leisure activity,31802158213,My home,Go home,31802158210,Car driver,Car driver,,,,,,,,465,125,15,10.71,Recreation
907111000003,90711,90711/1000,3,3,590,My home,Go home,31802158210,My workplace,Work (my workplace),31802147510,Car driver,Car driver,,,,,,,,605,580,15,17.71,Direct Work Commute
907111000004,90711,90711/1000,4,4,1185,My workplace,Work (my workplace),31802147510,My home,Go home,31802158210,Car driver,Car driver,,,,,,,,1200,,15,17.7,Direct Work Commute
907131000001,90713,90713/1000,1,1,215,My home,At Home,31802158210,My workplace,Work (my workplace),31802158223,Car driver,Car driver,,,,,,,,230,488,15,10.67,Direct Work Commute
907131000002,90713,90713/1000,2,2,718,My workplace,Work (my workplace),31802158223,Someone else's home,Pick up or drop off a passenger,31802158209,Car driver,Car driver,,,,,,,,720,2,2,0.73,Pickup/Dropoff Someone
907131000003,90713,90713/1000,3,3,722,Someone else's home,Pick up or drop off a passenger,31802158209,My home,Go home,31802158210,Car driver,Car driver,,,,,,,,736,,14,10.98,Pickup/Dropoff Someone
907131001001,90713,90713/1001,1,1,270,My home,At Home,31802158210,Other place (please specify),Personal business,31802158202,Walking,Walking,,,,,,,,315,90,45,1.9,Personal Business
907131001002,90713,90713/1001,2,2,405,Other place (please specify),Personal business,31802158202,Shop or supermarket,Shopping,31802158224,Walking,Walking,,,,,,,,420,45,15,1.27,Shopping
907131001003,90713,90713/1001,3,3,465,Shop or supermarket,Shopping,31802158224,My home,Go home,31802158210,Walking,Walking,,,,,,,,495,,30,1.05,Shopping
907131003001,90713,90713/1003,1,1,215,My home,At Home,31802158210,Primary or secondary school,Education,31802158223,Car passenger,Car passenger,,,,,,,,230,409,15,10.67,Education
907131003002,90713,90713/1003,2,2,639,Primary or secondary school,Education,31802158223,Someone else's home,Personal business,31802158209,Walking,Walking,,,,,,,,665,57,26,0.75,Personal Business
907131003003,90713,90713/1003,3,3,722,Someone else's home,Personal business,31802158209,My home,Go home,31802158210,Car passenger,Car passenger,,,,,,,,736,,14,10.98,Personal Business
907131004001,90713,90713/1004,1,1,270,My home,At Home,31802158210,Other place (please specify),Just accompanying someone,31802158202,Walking,Walking,,,,,,,,315,90,45,1.9,Accompany Someone
907131004002,90713,90713/1004,2,2,405,Other place (please specify),Just accompanying someone,31802158202,Shop or supermarket,Just accompanying someone,31802158224,Walking,Walking,,,,,,,,420,45,15,1.27,Accompany Someone
907131004003,90713,90713/1004,3,3,465,Shop or supermarket,Just accompanying someone,31802158224,My home,Go home,31802158210,Walking,Walking,,,,,,,,495,,30,1.05,Accompany Someone
907251000001,90725,90725/1000,1,1,360,My home,At Home,31802158210,Other place (please specify),Just accompanying someone,31802147413,Car driver,Car driver,,,,,,,,390,120,30,22.8,Accompany Someone
907251000002,90725,90725/1000,2,2,510,Other place (please specify),Just accompanying someone,31802147413,My home,Go home,31802158210,Car driver,Car driver,,,,,,,,540,,30,22.94,Accompany Someone
907251001001,90725,90725/1001,1,1,360,My home,At Home,31802158210,Other place (please specify),Personal business,31802147413,Car passenger,Car passenger,,,,,,,,390,120,30,22.8,Personal Business
907251001002,90725,90725/1001,2,2,510,Other place (please specify),Personal business,31802147413,My home,Go home,31802158210,Car passenger,Car passenger,,,,,,,,540,,30,22.94,Personal Business
907261000001,90726,90726/1000,1,1,180,My home,At Home,31802158210,My workplace,Work (my workplace),31802149012,Car driver,Car driver,,,,,,,,210,570,30,23.05,Direct Work Commute
907261000002,90726,90726/1000,2,2,780,My workplace,Work (my workplace),31802149012,My home,Go home,31802158210,Car driver,Car driver,,,,,,,,810,,30,23.1,Direct Work Commute
907261001001,90726,90726/1001,1,1,120,My home,At Home,31802158210,My workplace,Work (my workplace),31802147510,Car driver,Car driver,,,,,,,,140,70,20,17.83,Direct Work Commute
907261001002,90726,90726/1001,2,2,210,My workplace,Work (my workplace),31802147510,My home,Go home,31802158210,Car driver,Car driver,,,,,,,,240,150,30,17.43,Direct Work Commute
907261001003,90726,90726/1001,3,3,390,My home,Go home,31802158210,Someone else's home,Social Visit,31801146402,Car driver,Car driver,,,,,,,,450,195,60,98.12,Social
907261001004,90726,90726/1001,4,4,645,Someone else's home,Social Visit,31801146402,My home,Go home,31802158210,Car driver,Car driver,,,,,,,,720,,75,98.11,Social
907271000001,90727,90727/1000,1,1,185,My home,At Home,31802158210,Shop or supermarket,Shopping,31802158224,Car driver,Car driver,,,,,,,,190,15,5,1.56,Shopping
