HHID,PERSID,AGEGROUP,SEX,RELATIONSHIP,CARLICENCE,CARLICTYPE,MCLICENCE,MCLICTYPE,OTHERLICENCE,WORKSTATUS,ANZSCO_1-digit,ANZSCO_3-digit,INDUSTRY,STUDYING,ED_TYPE,MAINACT,STARTPLACE,ANYSTOPS,LASTLEFT,ASSISTAGE,ASSISTLTHC,ASSISTSTHC,ASSISTDISABILITY,ASSISTENGLISH,ASSISTOTHER,ASSISTANY,WFHDAY,WFHWEEK,WFHCORONA,NQSTADIUMATTEND,NQSTADIUMYEAR,NQSTADIUMEVENT,NQSTADIUMDRIVER,NQSTADIUMEVENTOTHER,NQSTADIUMPASSENGER,NQSTADIUMEVENTSHUTTLE,NQSTADIUMPUBLICBUS,NQSTADIUMUBERTAXI,NQSTADIUMBICYCLE,NQSTADIUMWALK,DEMOGWGT20,PERSWGT20
93615,93615/1000,9,male,,TRUE,fullLicence,FALSE,,FALSE,workFullTime,5,500,admin,,,Full-time Work,home,FALSE,4/28/2021 0:00,,,,,,,0,FALSE,0,0,0,,,,,,,,,,,1.22006011,30.86605644
93615,93615/1001,9,female,spouse,TRUE,fullLicence,FALSE,,FALSE,workFullTime,6,600,retail,,,Full-time Work,home,TRUE,,,,,,,,0,FALSE,0,0,0,,,,,,,,,,,1.158914447,29.3191452
93616,93616/1000,13,female,,TRUE,fullLicence,FALSE,,FALSE,retired,,,,,,Retired,home,TRUE,,,,,,,,0,FALSE,,,0,,,,,,,,,,,1.161857486,26.93033409
93617,93617/1000,13,male,,TRUE,fullLicence,FALSE,,FALSE,workPartTime,3,321,transport,,,Part-time Work,home,FALSE,4/26/2021 0:00,,,,,,,0,FALSE,0,0,1,2021,football,1,,,,,,,1,0.914224029,23.12877083
93617,93617/1001,13,female,spouse,TRUE,fullLicence,FALSE,,FALSE,workPartTime,4,423,health,,,Part-time Work,home,TRUE,,,,,,,,0,FALSE,0,0,1,2021,football,,,1,,,,,1,1.161857486,29.39360046
93618,93618/1000,9,male,,TRUE,fullLicence,FALSE,,FALSE,workFullTime,3,323,mining,tertiaryPartTime,,Full-time Work,work,FALSE,4/23/2021 0:00,,,,,,,0,FALSE,0,0,0,,,,,,,,,,,1.22006011,28.27939415
93622,93622/1000,12,male,,TRUE,fullLicence,FALSE,,FALSE,workPartTime,2,200,it,,,Part-time Work,home,FALSE,4/25/2021 0:00,,,,,,,0,TRUE,3,3,0,,,,,,,,,,,1.380715489,32.00317764
93623,93623/1000,13,male,,TRUE,fullLicence,FALSE,,FALSE,retired,,,,,,Retired,home,TRUE,,,,,,,,0,FALSE,,,0,,,,,,,,,,,0.914224029,23.12877083
93623,93623/1001,7,female,child,TRUE,fullLicence,FALSE,,FALSE,workFullTime,4,423,health,,,Full-time Work,home,FALSE,4/28/2021 0:00,,,,,,,0,FALSE,0,0,0,,,,,,,,,,,0.939867496,23.77751923
93624,93624/1000,11,female,,TRUE,fullLicence,FALSE,,FALSE,workFullTime,1,100,retail,,,Full-time Work,home,TRUE,,,,,,,,0,FALSE,0,0,1,2021,football,1,,,,,,,1,1.192860126,27.64893532
93625,93625/1000,10,female,,TRUE,fullLicence,FALSE,,FALSE,workFullTime,5,500,admin,,,Full-time Work,home,TRUE,,,,,,,,0,FALSE,0,0,0,,,,,,,,,,,1.120332479,57.25529861
93625,93625/1001,10,male,spouse,TRUE,fullLicence,FALSE,,FALSE,workFullTime,1,100,retail,,,Full-time Work,home,TRUE,,,,,,,,0,FALSE,0,0,0,,,,,,,,,,,1.195128918,61.07781601
93625,93625/1002,2,female,child,FALSE,,FALSE,,FALSE,,,,,primary,2,Primary School,home,TRUE,,1,,,,,,1,FALSE,,,0,,,,,,,,,,,0.847001851,43.28656387
93625,93625/1003,2,male,child,FALSE,,FALSE,,FALSE,,,,,primary,2,Primary School,home,TRUE,,1,,,,,,1,FALSE,,,0,,,,,,,,,,,0.900419712,46.01651764
93625,93625/1004,1,male,child,FALSE,,FALSE,,FALSE,,,,,childcare,,Childcare/Kindergarten,,TRUE,,1,,,,,,1,FALSE,,,,,,,,,,,,,,1.487790585,76.03447723
93626,93626/1000,13,female,,TRUE,fullLicence,FALSE,,FALSE,retired,,,,,,Retired,home,TRUE,,,,,,,,0,FALSE,,,0,,,,,,,,,,,1.161857486,26.93033409
93627,93627/1000,13,female,,TRUE,fullLicence,FALSE,,FALSE,retired,,,,,,Retired,home,TRUE,,,,,,,,0,FALSE,,,1,2021,football,,,1,,,,,1,1.161857486,29.39360046
93627,93627/1001,14,male,spouse,TRUE,fullLicence,FALSE,,FALSE,retired,,,,,,Retired,home,FALSE,4/28/2021 0:00,,,,,,,0,FALSE,,,0,,,,,,,,,,,1.185264945,29.98578072
93629,93629/1000,16,male,,FALSE,,FALSE,,FALSE,retired,,,,,,Retired,home,FALSE,4/25/2021 0:00,,,,,,,0,FALSE,,,0,,,,,,,,,,,1.156279922,26.801054
