HHID,HHSIZE,BIKES,HHVEH,EBIKES,ESCOOTER,DWELLTYPE,SURVEYWEEK,STRATA_LGA,TRAVDATE,TRAVMONTH,TRAVYEAR,TRAVDOW,HOME_SA1_2021,HHWGT_20
92579,3,0,2,0,0,,11,11,15,2,2021,1,31802148236,30.44441848
92581,1,4,1,0,0,,11,11,17,2,2021,3,31802148236,23.17869001
92584,4,4,2,0,0,,11,11,15,2,2021,1,31802148236,38.1196772
92585,1,0,1,0,0,,11,11,16,2,2021,2,31802148236,23.17869001
92586,1,1,1,0,0,,11,11,17,2,2021,3,31802148236,23.17869001
92587,2,0,2,0,0,,11,11,18,2,2021,4,31802148236,25.29879984
92594,2,0,2,0,0,Separate house,11,11,15,2,2021,1,31802148420,25.29879984
92595,4,2,2,0,0,Separate house,11,11,16,2,2021,2,31802148420,38.1196772
92597,1,0,1,0,0,Separate house,11,11,18,2,2021,4,31802148420,23.17869001
92599,5,6,1,0,0,Separate house,11,11,15,2,2021,1,31802148420,51.10563103
92601,1,0,1,0,0,Separate house,11,11,17,2,2021,3,31802148420,23.17869001
92607,3,1,2,0,0,Separate house,11,11,18,2,2021,4,31802148420,30.44441848
92609,2,0,1,0,0,Separate house,11,11,15,2,2021,1,31802148420,25.29879984
92610,2,1,1,0,0,Separate house,11,11,16,2,2021,2,31802148420,25.29879984
92614,4,2,3,0,0,Separate house,11,11,15,2,2021,1,31802148420,38.1196772
92615,3,1,2,0,1,Separate house,11,11,16,2,2021,2,31802148420,30.44441848
92620,4,3,1,0,1,Separate house,11,11,16,2,2021,2,31802148722,38.1196772
92621,3,0,3,0,0,Separate house,11,11,17,2,2021,3,31802148721,30.44441848
92622,1,0,1,0,0,Separate house,11,11,18,2,2021,4,31802148726,23.17869001
92623,1,0,1,0,0,"Semi-detached house, terrace house, townhouse, etc.",11,11,19,2,2021,5,31802148723,23.17869001
92626,3,1,1,0,0,Separate house,11,11,17,2,2021,3,31802148721,30.44441848
92629,1,0,1,0,0,"Semi-detached house, terrace house, townhouse, etc.",11,11,15,2,2021,1,31802148721,23.17869001
92637,2,2,1,0,0,"Semi-detached house, terrace house, townhouse, etc.",11,11,18,2,2021,4,31802148726,25.29879984
92643,2,1,2,0,0,Separate house,11,11,19,2,2021,5,31802148723,25.29879984
92650,2,0,2,0,0,Separate house,12,11,22,2,2021,1,31802146906,25.29879984
92651,1,0,1,0,0,Separate house,12,11,23,2,2021,2,31802146906,23.17869001
92652,2,0,2,0,0,Separate house,12,11,24,2,2021,3,31802146906,25.29879984
92653,1,0,1,0,0,Separate house,12,11,25,2,2021,4,31802146906,23.17869001
92654,1,0,0,0,0,Separate house,12,11,26,2,2021,5,31802146906,23.17869001
92655,2,2,2,0,0,Separate house,12,11,22,2,2021,1,31802146906,25.29879984
92656,4,0,2,0,0,Separate house,12,11,23,2,2021,2,31802146906,38.1196772
92657,1,0,1,0,0,Separate house,12,11,24,2,2021,3,31802146906,23.17869001
92658,4,4,2,0,0,Separate house,12,11,25,2,2021,4,31802146906,38.1196772
92659,2,0,0,0,0,Separate house,12,11,26,2,2021,5,31802146906,25.29879984
92662,2,0,1,0,0,Separate house,12,11,24,2,2021,3,31802146906,25.29879984
92666,1,0,1,0,0,Separate house,12,11,23,2,2021,2,31802146906,23.17869001
92669,1,0,1,0,0,Separate house,12,11,26,2,2021,5,31802146906,23.17869001
92670,4,0,2,0,0,Separate house,12,11,22,2,2021,1,31802146906,38.1196772
92671,2,0,1,0,0,Separate house,12,11,23,2,2021,2,31802146906,25.29879984
92672,3,0,2,0,0,Separate house,12,11,24,2,2021,3,31802146906,30.44441848
92674,2,0,1,0,0,Separate house,12,11,26,2,2021,5,31802146906,25.29879984
92677,1,0,1,0,0,Separate house,12,11,24,2,2021,3,31802146906,23.17869001
92678,3,0,1,0,0,Separate house,12,11,25,2,2021,4,31802146906,30.44441848
92683,3,2,3,0,0,Separate house,12,11,25,2,2021,4,31802158306,30.44441848
92684,2,0,1,0,0,Separate house,12,11,26,2,2021,5,31802158306,25.29879984
92686,2,0,2,0,0,Separate house,12,11,23,2,2021,2,31802158306,25.29879984
92687,2,3,2,0,0,Separate house,12,11,24,2,2021,3,31802158301,25.29879984
92689,2,1,2,0,0,Separate house,12,11,26,2,2021,5,31802158301,25.29879984
92691,3,3,2,0,0,Separate house,12,11,23,2,2021,2,31802158301,30.44441848
92692,2,2,2,0,0,Separate house,12,11,24,2,2021,3,31802158306,25.29879984
92695,2,2,2,0,0,Separate house,12,11,22,2,2021,1,31802158306,25.29879984
92699,3,2,2,0,0,Separate house,12,11,26,2,2021,5,31802158306,30.44441848
92700,2,0,3,0,0,Separate house,12,11,22,2,2021,1,31802158306,25.29879984
92701,2,0,2,0,0,Separate house,12,11,23,2,2021,2,31802158306,25.29879984
92702,1,2,1,0,0,Separate house,12,11,24,2,2021,3,31802158301,23.17869001
92703,5,3,3,0,0,Separate house,12,11,25,2,2021,4,31802158301,51.10563103
92704,2,1,2,0,0,Separate house,12,11,26,2,2021,5,31802158306,25.29879984
92709,1,0,1,0,0,Separate house,12,11,26,2,2021,5,31802158306,23.17869001
92710,2,0,2,0,0,Separate house,12,11,22,2,2021,1,31802158313,25.29879984
92711,2,2,2,0,0,Separate house,12,11,23,2,2021,2,31802158313,25.29879984
92712,2,0,2,0,0,Separate house,12,11,24,2,2021,3,31802158313,25.29879984
92715,2,0,1,0,0,Separate house,12,11,22,2,2021,1,31802158313,25.29879984
92717,2,0,2,0,0,Separate house,12,11,24,2,2021,3,31802158313,25.29879984
92718,2,0,2,0,0,Separate house,12,11,25,2,2021,4,31802158313,25.29879984
92719,3,0,1,0,0,Separate house,12,11,26,2,2021,5,31802158313,30.44441848
92722,4,4,2,0,0,Separate house,12,11,24,2,2021,3,31802158313,38.1196772
92724,4,3,1,0,0,Separate house,12,11,26,2,2021,5,31802158313,38.1196772
92725,3,1,2,0,0,Separate house,12,11,22,2,2021,1,31802158313,30.44441848
92726,3,1,1,0,0,Separate house,12,11,23,2,2021,2,31802158313,30.44441848
92727,4,0,2,0,0,Separate house,12,11,24,2,2021,3,31802158313,38.1196772
